                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.53805,                 1.5365,                0.97933,                0.18061,                    0.5,                0.09957,                0.03015,                 2.0665,                 23.155,                 1.7019,             0.00022222,             0.00022222,             0.00022222
                     36,                 1.1915,                 1.6694,                 1.0045,                0.18061,                    0.5,                0.09957,                0.03015,                 2.0665,                 23.155,                 1.7019,              0.0002149,              0.0002149,              0.0002149
                     37,                 2.0064,                 2.7279,                 1.7187,                0.00202,                   0.25,                0.00095,                0.00047,                  2.354,                 250.59,                 1.7601,             0.00020678,             0.00020678,             0.00020678
                     38,                 1.9676,                 6.6526,                 1.4327,                0.00202,                   0.25,                0.00095,                0.00047,                  2.354,                 250.59,                 1.7601,             0.00019788,             0.00019788,             0.00019788
                     39,                 1.2731,                 3.0496,                  1.014,                0.00202,                   0.25,                0.00095,                0.00047,                 2.9983,                 1341.7,                  3.338,             0.00018818,             0.00018818,             0.00018818
                     40,                 1.2985,                  2.026,                 1.0287,                0.00202,                   0.25,                0.00095,                0.00047,                 2.9983,                 1341.7,                  3.338,             0.00017768,             0.00017768,             0.00017768
                     41,                 1.0362,                 2.0372,                 1.5563,                0.00202,                   0.25,                0.00095,                0.00047,                 3.8332,                 9325.9,                  5.567,              0.0001664,              0.0001664,              0.0001664
                     42,                  1.471,                 3.2631,                 1.2156,                0.00202,                   0.25,                0.00095,                0.00047,                 3.8332,                 9325.9,                  5.567,             0.00015432,             0.00015432,             0.00015432
                     43,                 1.0969,                 2.6353,                 1.4739,                0.00202,                   0.25,                0.00095,                0.00047,                 3.6167,                  15496,                 4.6116,             0.00014146,             0.00014146,             0.00014146
                     44,                 1.2862,                 2.9614,                 1.0474,                0.00202,                   0.25,                0.00095,                0.00047,                 3.6167,                  15496,                 4.6116,              0.0001278,              0.0001278,              0.0001278
                     45,                  1.013,                 2.5994,                 1.3342,                0.00202,                   0.25,                0.00095,                0.00047,                 2.4502,                  12052,                 4.3343,             0.00011334,             0.00011334,             0.00011334
                     46,                 1.0008,                 2.2099,                0.99621,                0.00202,                   0.25,                0.00095,                0.00047,                 2.4502,                  12052,                 4.3343,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                 1.1813,                 1.9136,                 1.1652,                0.00111,                   0.25,                0.00085,                0.00025,                 2.3405,                 2233.9,                 5.7931,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                  1.581,                 2.5883,                 1.2156,                0.00111,                   0.25,                0.00085,                0.00025,                 2.3405,                 2233.9,                 5.7931,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                 1.2378,                 1.4459,                  1.253,                0.00177,                   0.25,                 0.0009,                  9e-05,                  2.261,                 328.81,                 4.3888,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.97326,                 1.5615,                 1.0343,                0.00177,                   0.25,                 0.0009,                  9e-05,                  2.261,                 328.81,                 4.3888,             2.9204e-05,             2.9204e-05,             2.9204e-05
